original,clean
Us Office of Naval Research N000141010144,Office of Naval Research
US Public Health Search Grant,Public Health Service
US Public Health Service,Public Health Service
US Special Operations Command,Special Operations Command
US States Government,United States Government
US Veterans Administration,Department of Veterans Affairs
Usa,Army
Usa Med Research Acq,Army | US Army Medical Research Acquisition Activity
Usa Medical Research Acq Activity,Army | US Army Medical Research Acquisition Activity
Usa Medical Research Acq Activity Office of Naval Research Sbir,Army | Small Business Innovation Research
Usa Medical Research Acq Activity Office of Naval Research Sbir Phase Ii,Army | Small Business Innovation Research
Usaf,Air Force
Usaf Crada,Air Force
UsafAfosr,Air Force Office of Scientific Research
UsafAfosrAir Force Office of Scientific Research,Air Force Office of Scientific Research
UsafFosr,Air Force Office of Scientific Research
Usaid,Agency for International Development
Usamraa,Army Medical Research and Materiel Command
Usamrmc,Army Medical Research and Materiel Command
Usarmc,Army Medical Research and Materiel Command 
Usarmy Medcom Usamraa,Army Medical Research and Materiel Command
Usda,Department of Agriculture
Usda Animal Health Grant,Department of Agriculture
Usda Biomass Research,Department of Agriculture
Usda Biomass Research and Development Initiative Grant,Department of Agriculture
Usda Biomass Research and Development Initiative Grant 683A757601,Department of Agriculture
Usda Cooperative State Research,"Department of Agriculture | Cooperative State Research, Education, and Extension Service"
Usda Cooperative State Research Education,"Department of Agriculture | Cooperative State Research, Education, and Extension Service"
Usda Crees,"Department of Agriculture | Cooperative State Research, Education, and Extension Service"
Usda Forest Service,Department of Agriculture | Forest Service
Usda National Institute of Food and Agriculture,Department of Agriculture | National Institute of Food and Agriculture
Usda National Institute of Food and Agriculture Biotechnology Risk Assessment Research Grant Program,Department of Agriculture | National Institute of Food and Agriculture
Usda Nifa,Department of Agriculture | National Institute of Food and Agriculture
Usda Sbir,Department of Agriculture | Small Business Innovation Research
UsdaHatch,Department of Agriculture
UsdaNational Institute of Food and Agriculture,Department of Agriculture | National Institute of Food and Agriculture
UsdaNifa,Department of Agriculture | National Institute of Food and Agriculture
UsDepartment of Energy,Department of Energy
Usepa,Environmental Protection Agency
Usepa EpD07086,Environmental Protection Agency
Usjfcom Crada,Joint Forces Command
Usphs,Public Health Service
Usphs Nih,Public Health Service | NATIONAL INSTITUTES OF HEALTH
Utah Department of Transportation,non_government
Utah Department of Transportation Grant,non_government
Utah Department of Transportation Grant No,non_government
Uunited States Government,United States Government
Va,Department of Veterans Affairs
